epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5937.04,1.14482,1.89049,1.14429,0.69242,0.2775,0.27599,0.19764,0.90863,1.32169,1.06207,0.0033328,0.0033328,0.0033328
2,9105.08,1.09239,1.30494,1.10377,0.48942,0.28199,0.29976,0.22336,0.86547,1.04947,1.05186,0.00660014,0.00660014,0.00660014
3,17257.2,1.08075,1.15993,1.09883,0.62114,0.35169,0.37252,0.27991,0.83974,0.95574,1.0408,0.00980148,0.00980148,0.00980148
4,9903.41,1.04342,1.07578,1.08358,0.6375,0.32585,0.35034,0.26969,0.82131,0.89699,1.0345,0.009703,0.009703,0.009703
5,14989.9,0.99821,1.0036,1.06042,0.65199,0.36412,0.40249,0.3073,0.8059,0.86632,1.02592,0.009604,0.009604,0.009604
6,6176.93,0.97284,0.96609,1.04844,0.56883,0.382,0.37045,0.28768,0.79978,0.84815,1.0218,0.009505,0.009505,0.009505
7,11230.2,0.95972,0.94278,1.04091,0.5657,0.4237,0.40769,0.31448,0.79382,0.83991,1.01751,0.009406,0.009406,0.009406
8,15858.9,0.95301,0.9298,1.0373,0.54192,0.44435,0.41035,0.31736,0.78871,0.83236,1.01401,0.009307,0.009307,0.009307
9,20192.2,0.94358,0.91454,1.03259,0.55108,0.4401,0.41503,0.32207,0.78573,0.82928,1.01209,0.009208,0.009208,0.009208
10,6421.53,0.93642,0.9101,1.02952,0.55372,0.39658,0.37161,0.29272,0.78567,0.82526,1.01215,0.009109,0.009109,0.009109
11,11455.2,0.93375,0.903,1.02719,0.54823,0.43917,0.41172,0.32004,0.78505,0.82306,1.01152,0.00901,0.00901,0.00901
12,6285.96,0.92921,0.90085,1.02597,0.55547,0.39557,0.37256,0.29367,0.78528,0.82099,1.01183,0.008911,0.008911,0.008911
13,12640.2,0.93094,0.89752,1.02555,0.5585,0.44045,0.41346,0.32087,0.78492,0.81972,1.01129,0.008812,0.008812,0.008812
14,6227.17,0.92355,0.89294,1.02321,0.56326,0.40022,0.37579,0.29582,0.78506,0.81814,1.01137,0.008713,0.008713,0.008713
15,11030.7,0.92794,0.89353,1.02407,0.55847,0.4433,0.41571,0.32247,0.78502,0.81698,1.01091,0.008614,0.008614,0.008614
16,15569,0.92699,0.89034,1.02312,0.5603,0.44192,0.4187,0.32492,0.78418,0.81528,1.00993,0.008515,0.008515,0.008515
17,20133.9,0.92301,0.88396,1.02147,0.56641,0.44232,0.41953,0.32555,0.7831,0.81337,1.00901,0.008416,0.008416,0.008416
18,59025.5,0.91826,0.87815,1.01834,0.56603,0.44561,0.42075,0.32628,0.78222,0.8112,1.0079,0.008317,0.008317,0.008317
19,6317.44,0.91166,0.87539,1.01666,0.57376,0.40771,0.38591,0.30314,0.78239,0.80971,1.00793,0.008218,0.008218,0.008218
20,11679,0.91699,0.87755,1.01826,0.5703,0.44094,0.41769,0.32445,0.78183,0.80834,1.0073,0.008119,0.008119,0.008119
21,17073.6,0.91661,0.87604,1.01804,0.57513,0.43856,0.41941,0.3261,0.78006,0.80639,1.00481,0.00802,0.00802,0.00802
22,21960.2,0.91409,0.87128,1.017,0.57858,0.44131,0.42079,0.32654,0.78092,0.80618,1.00683,0.007921,0.007921,0.007921
23,37287.4,0.91064,0.86682,1.01417,0.57291,0.4419,0.42199,0.32765,0.78045,0.80445,1.00592,0.007822,0.007822,0.007822
24,10447,0.90164,0.86035,1.012,0.58106,0.40746,0.38772,0.30476,0.78075,0.80323,1.00629,0.007723,0.007723,0.007723
25,17031.5,0.90675,0.86294,1.01313,0.5768,0.43822,0.41814,0.32469,0.78058,0.802,1.00624,0.007624,0.007624,0.007624
26,24759.2,0.90772,0.86344,1.01342,0.58399,0.43646,0.42215,0.32721,0.78,0.80109,1.00574,0.007525,0.007525,0.007525
27,30899.7,0.90547,0.86016,1.01237,0.5798,0.43764,0.42228,0.32715,0.77907,0.79986,1.00484,0.007426,0.007426,0.007426
28,40932.3,0.90363,0.8573,1.01086,0.57938,0.4386,0.42241,0.32791,0.77839,0.79813,1.00392,0.007327,0.007327,0.007327
29,7215.84,0.89195,0.8472,1.00703,0.58218,0.37732,0.35519,0.27804,0.77581,0.79811,1.00027,0.007228,0.007228,0.007228
30,22767.7,0.89842,0.85131,1.00859,0.58673,0.4323,0.4189,0.32509,0.77812,0.79628,1.00383,0.007129,0.007129,0.007129
31,27475.8,0.89978,0.85123,1.00902,0.58278,0.43901,0.42738,0.33069,0.77793,0.79546,1.00353,0.00703,0.00703,0.00703
32,31933,0.89805,0.84941,1.0086,0.5785,0.44398,0.43134,0.33339,0.77733,0.79432,1.00336,0.006931,0.006931,0.006931
33,36036.3,0.88469,0.83743,1.00334,0.5908,0.4024,0.38344,0.30087,0.77769,0.7938,1.00347,0.006832,0.006832,0.006832
34,40991,0.89194,0.84236,1.00555,0.58853,0.43391,0.43032,0.33171,0.77775,0.79277,1.0037,0.006733,0.006733,0.006733
35,45713.1,0.89353,0.84404,1.0061,0.53594,0.4872,0.43613,0.33458,0.77781,0.79225,1.00364,0.006634,0.006634,0.006634
36,50274.8,0.89351,0.84355,1.00647,0.54171,0.49137,0.44115,0.33697,0.77688,0.79152,1.00319,0.006535,0.006535,0.006535
37,6553.85,0.87795,0.82858,0.99992,0.60916,0.39341,0.38236,0.29938,0.7775,0.79151,1.00348,0.006436,0.006436,0.006436
38,26073.8,0.88543,0.83395,1.00243,0.5539,0.47599,0.43842,0.33526,0.77769,0.79048,1.0036,0.006337,0.006337,0.006337
39,30724.3,0.88834,0.83626,1.00363,0.55651,0.47996,0.4421,0.33663,0.77768,0.78981,1.0036,0.006238,0.006238,0.006238
40,35567.8,0.87241,0.82102,0.99741,0.61657,0.3852,0.37809,0.29532,0.778,0.78945,1.00365,0.006139,0.006139,0.006139
41,45857.3,0.88136,0.82903,1.00062,0.5631,0.47327,0.43844,0.33434,0.77798,0.78917,1.00382,0.00604,0.00604,0.00604
42,50456.9,0.88474,0.83229,1.00194,0.5715,0.47053,0.44067,0.3361,0.77737,0.78891,1.00352,0.005941,0.005941,0.005941
43,6510.43,0.86691,0.81496,0.99496,0.62597,0.39281,0.38737,0.30219,0.77721,0.78791,1.00325,0.005842,0.005842,0.005842
44,11333.2,0.87674,0.82353,0.99844,0.58515,0.46328,0.43881,0.33519,0.77795,0.78795,1.00365,0.005743,0.005743,0.005743
45,15899.9,0.88098,0.82767,1.00045,0.5972,0.45675,0.43914,0.337,0.77761,0.78744,1.00313,0.005644,0.005644,0.005644
46,20317.5,0.882,0.82858,1.00099,0.60558,0.45506,0.44268,0.33713,0.77651,0.78687,1.00269,0.005545,0.005545,0.005545
47,24684.3,0.88074,0.82742,0.99996,0.60153,0.45577,0.44263,0.33802,0.77478,0.78481,1.00098,0.005446,0.005446,0.005446
48,6383.91,0.85993,0.80543,0.9916,0.61763,0.38768,0.38261,0.29877,0.77529,0.78452,1.00105,0.005347,0.005347,0.005347
49,25692.9,0.86928,0.8138,0.99512,0.60387,0.44655,0.43888,0.33491,0.77483,0.78409,1.00096,0.005248,0.005248,0.005248
50,47952.3,0.87388,0.81806,0.99701,0.60652,0.44936,0.44269,0.33808,0.77543,0.78476,1.00153,0.005149,0.005149,0.005149
51,53919.3,0.87485,0.81899,0.99768,0.60818,0.4491,0.44345,0.33809,0.77396,0.78242,1.00006,0.00505,0.00505,0.00505
52,6269.22,0.8532,0.79728,0.98851,0.61766,0.39177,0.38648,0.30228,0.77566,0.78319,1.0018,0.004951,0.004951,0.004951
53,11118.2,0.86321,0.80656,0.99228,0.60219,0.44805,0.44179,0.3365,0.7758,0.78353,1.00186,0.004852,0.004852,0.004852
54,15693.5,0.86823,0.81112,0.9945,0.5947,0.44732,0.44255,0.33714,0.77574,0.78295,1.00167,0.004753,0.004753,0.004753
55,19993.4,0.86956,0.81292,0.99577,0.58853,0.4493,0.44337,0.33746,0.77495,0.78214,1.00122,0.004654,0.004654,0.004654
56,24208.3,0.86959,0.81302,0.99491,0.59338,0.44585,0.44341,0.33766,0.77418,0.78112,1.00024,0.004555,0.004555,0.004555
57,15621.2,0.84624,0.78837,0.98535,0.61445,0.38218,0.37137,0.29075,0.77461,0.78072,1.00059,0.004456,0.004456,0.004456
58,31674.6,0.85619,0.79724,0.98901,0.58454,0.44496,0.43892,0.33535,0.77463,0.78071,1.00066,0.004357,0.004357,0.004357
59,38242.2,0.86078,0.80179,0.99112,0.58454,0.4455,0.44297,0.33745,0.77459,0.7802,1.00042,0.004258,0.004258,0.004258
