epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,44675.7,0.86281,0.80414,0.99255,0.57556,0.44884,0.44335,0.33822,0.77405,0.77942,1.00026,0.004159,0.004159,0.004159
61,52631.3,0.86273,0.80486,0.9918,0.57677,0.45006,0.44366,0.33942,0.77314,0.7785,0.99941,0.00406,0.00406,0.00406
62,57400.5,0.86135,0.80279,0.9919,0.578,0.45167,0.4458,0.3408,0.77237,0.77734,0.99898,0.003961,0.003961,0.003961
62,10088.1,0.83861,0.77881,0.98209,0.60803,0.3999,0.38607,0.30193,0.77337,0.77891,0.99947,0.003961,0.003961,0.003961
63,14870.3,0.84812,0.78793,0.98551,0.56929,0.44637,0.4414,0.33732,0.77278,0.77828,0.99895,0.003862,0.003862,0.003862
64,27708.2,0.853,0.79176,0.98769,0.5806,0.44248,0.44328,0.33829,0.77321,0.77837,0.99927,0.003763,0.003763,0.003763
65,35967,0.85493,0.79499,0.98924,0.58516,0.44082,0.44459,0.33908,0.77283,0.77785,0.99929,0.003664,0.003664,0.003664
66,73148.4,0.8557,0.79591,0.9888,0.587,0.43911,0.44483,0.33966,0.77238,0.77689,0.99869,0.003565,0.003565,0.003565
67,6796.69,0.83068,0.76903,0.97867,0.59424,0.41355,0.39192,0.30609,0.77229,0.77705,0.99859,0.003466,0.003466,0.003466
68,12347.2,0.83985,0.778,0.98193,0.60073,0.4287,0.44355,0.33869,0.77215,0.77718,0.9986,0.003367,0.003367,0.003367
69,17423.9,0.845,0.78233,0.98416,0.58269,0.43775,0.44391,0.33911,0.77195,0.77706,0.99814,0.003268,0.003268,0.003268
70,22592.2,0.84756,0.78632,0.98579,0.60581,0.42963,0.44408,0.33926,0.76924,0.7771,0.99535,0.003169,0.003169,0.003169
71,39427.7,0.84825,0.7866,0.98583,0.58089,0.43936,0.44591,0.34044,0.7715,0.77601,0.9979,0.00307,0.00307,0.00307
72,43787.3,0.84742,0.78575,0.98593,0.57498,0.44088,0.44627,0.34059,0.7707,0.77487,0.99732,0.002971,0.002971,0.002971
73,6276.11,0.82165,0.75799,0.97463,0.60037,0.40066,0.38745,0.30245,0.7709,0.775,0.99748,0.002872,0.002872,0.002872
74,13263.7,0.82958,0.76593,0.97763,0.5776,0.43406,0.44344,0.33891,0.77117,0.77514,0.99772,0.002773,0.002773,0.002773
75,18474.3,0.83433,0.76976,0.97969,0.58207,0.43673,0.44555,0.34098,0.76913,0.77483,0.99486,0.002674,0.002674,0.002674
76,23064.1,0.83687,0.77399,0.98157,0.56278,0.44783,0.44666,0.34176,0.77115,0.77449,0.99782,0.002575,0.002575,0.002575
77,27646.8,0.83786,0.77499,0.98131,0.54887,0.45328,0.446,0.34123,0.77112,0.77347,0.9975,0.002476,0.002476,0.002476
78,42332.8,0.83795,0.77443,0.98189,0.55473,0.45124,0.44623,0.34121,0.77093,0.77278,0.99731,0.002377,0.002377,0.002377
79,46586.4,0.8352,0.76938,0.98065,0.55023,0.4547,0.4485,0.34262,0.77085,0.77162,0.99731,0.002278,0.002278,0.002278
80,50792.8,0.83398,0.76964,0.97976,0.55328,0.45129,0.44825,0.34378,0.77042,0.77075,0.99711,0.002179,0.002179,0.002179
81,55109.5,0.82948,0.76316,0.97804,0.55183,0.45487,0.44844,0.34461,0.76955,0.77037,0.99663,0.00208,0.00208,0.00208
82,86095.1,0.82954,0.76377,0.97845,0.55295,0.45682,0.44865,0.34553,0.76887,0.76985,0.99597,0.001981,0.001981,0.001981
83,90532.4,0.82756,0.76136,0.97674,0.55708,0.45471,0.44884,0.34548,0.76842,0.76992,0.99544,0.001882,0.001882,0.001882
84,94986.7,0.8234,0.75648,0.97459,0.55313,0.45808,0.44861,0.34529,0.76818,0.76983,0.99499,0.001783,0.001783,0.001783
85,99169.1,0.82076,0.75428,0.97425,0.55196,0.45865,0.44938,0.34572,0.76757,0.76979,0.99448,0.001684,0.001684,0.001684
86,103439,0.81968,0.753,0.97349,0.55325,0.454,0.44857,0.34582,0.76724,0.76969,0.99414,0.001585,0.001585,0.001585
87,107458,0.81736,0.74972,0.97295,0.54995,0.45493,0.44781,0.34629,0.76697,0.76937,0.99383,0.001486,0.001486,0.001486
88,6523.3,0.80126,0.73153,0.96637,0.60762,0.3992,0.38726,0.30501,0.7671,0.76848,0.99408,0.001387,0.001387,0.001387
89,22990.6,0.80372,0.73465,0.96678,0.54906,0.45002,0.44553,0.3445,0.76686,0.76826,0.99378,0.001288,0.001288,0.001288
90,27598.2,0.80485,0.73447,0.96724,0.55109,0.4521,0.44631,0.34384,0.76737,0.76767,0.99417,0.001189,0.001189,0.001189
91,62155.6,0.71916,0.63825,0.93548,0.55361,0.45322,0.44735,0.34571,0.76603,0.76593,0.99334,0.00109,0.00109,0.00109
92,66498.5,0.71035,0.62668,0.93117,0.56136,0.44927,0.44816,0.34667,0.76448,0.76435,0.99243,0.000991,0.000991,0.000991
93,70766.5,0.70487,0.62122,0.92847,0.56808,0.44884,0.45013,0.34846,0.76279,0.76314,0.9914,0.000892,0.000892,0.000892
94,76779.9,0.70075,0.61487,0.92696,0.56425,0.45216,0.45098,0.35045,0.76163,0.76194,0.99087,0.000793,0.000793,0.000793
95,82444.6,0.69685,0.61141,0.92512,0.5715,0.45076,0.4505,0.35096,0.76105,0.76069,0.99064,0.000694,0.000694,0.000694
96,6475.28,0.70078,0.61673,0.9281,0.5343,0.41104,0.40211,0.31731,0.76065,0.76055,0.99019,0.000595,0.000595,0.000595
97,10983.1,0.69644,0.6124,0.92647,0.57779,0.44416,0.44895,0.35077,0.76079,0.75998,0.9909,0.000496,0.000496,0.000496
98,15203.1,0.69235,0.60716,0.92459,0.5886,0.44255,0.44944,0.35138,0.76095,0.76018,0.9912,0.000397,0.000397,0.000397
99,19575.2,0.68922,0.60382,0.92322,0.58678,0.44715,0.44971,0.35127,0.76077,0.75991,0.99094,0.000298,0.000298,0.000298
100,25604.1,0.68768,0.60072,0.92337,0.58596,0.44878,0.44999,0.35141,0.76104,0.76034,0.99153,0.000199,0.000199,0.000199
