epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,37788,0.89204,0.82246,1.01648,0.58007,0.51817,0.51085,0.37855,0.713,0.72573,0.95551,0.005842,0.005842,0.005842
44,38920.5,0.88359,0.81203,1.01429,0.58177,0.51654,0.51098,0.37923,0.70328,0.71836,0.9434,0.005743,0.005743,0.005743
45,40073.1,0.88139,0.81028,1.01388,0.5765,0.50851,0.50483,0.37559,0.70634,0.731,0.94747,0.005644,0.005644,0.005644
46,41202.5,0.88414,0.81405,1.015,0.57091,0.51015,0.5021,0.3735,0.71669,0.72932,0.95999,0.005545,0.005545,0.005545
47,2001.72,0.87444,0.80344,1.0106,0.50137,0.36008,0.33409,0.25371,0.70221,0.71791,0.94347,0.005446,0.005446,0.005446
48,3580.83,0.87566,0.80449,1.01066,0.56251,0.4315,0.42359,0.31865,0.70328,0.72809,0.94057,0.005347,0.005347,0.005347
49,5010.6,0.87482,0.80557,1.01185,0.58051,0.4636,0.46359,0.34681,0.70248,0.73886,0.94215,0.005248,0.005248,0.005248
50,6376.42,0.87317,0.80384,1.01053,0.58027,0.48435,0.48143,0.36059,0.71838,0.75226,0.963,0.005149,0.005149,0.005149
51,7680.18,0.87584,0.79947,1.0102,0.58136,0.49101,0.48692,0.36386,0.70323,0.72148,0.93872,0.00505,0.00505,0.00505
52,8959.24,0.87129,0.79535,1.00605,0.58773,0.48844,0.48885,0.36558,0.71733,0.72916,0.96021,0.004951,0.004951,0.004951
53,10177.6,0.86506,0.79434,1.00685,0.58202,0.49378,0.49024,0.3668,0.69806,0.72354,0.93878,0.004852,0.004852,0.004852
54,11399.7,0.86603,0.79307,1.00791,0.59293,0.4962,0.49978,0.37384,0.71439,0.7298,0.95818,0.004753,0.004753,0.004753
55,12604.7,0.86283,0.78974,1.00358,0.58821,0.48981,0.49172,0.3678,0.70413,0.72363,0.9442,0.004654,0.004654,0.004654
56,13784.1,0.86477,0.7865,1.00436,0.59024,0.50735,0.51035,0.38063,0.71189,0.73916,0.95309,0.004555,0.004555,0.004555
57,14979.1,0.86056,0.78473,1.0057,0.58827,0.49239,0.49625,0.37163,0.6995,0.72959,0.93842,0.004456,0.004456,0.004456
58,16183.8,0.86277,0.78939,1.00442,0.5844,0.49132,0.49149,0.368,0.699,0.71559,0.93941,0.004357,0.004357,0.004357
59,17369.6,0.8633,0.78632,1.00573,0.57742,0.50182,0.49599,0.37151,0.70652,0.72403,0.94884,0.004258,0.004258,0.004258
60,18553.6,0.85954,0.78438,1.00417,0.57006,0.5147,0.504,0.377,0.70973,0.72074,0.95208,0.004159,0.004159,0.004159
61,19724.1,0.85454,0.78115,1.0011,0.58181,0.49421,0.49485,0.37124,0.70088,0.70882,0.94032,0.00406,0.00406,0.00406
62,20943.1,0.85123,0.77337,0.99842,0.58352,0.49318,0.49489,0.37144,0.72762,0.71688,0.97723,0.003961,0.003961,0.003961
63,22166.6,0.8514,0.77574,0.99966,0.56834,0.50657,0.49648,0.37215,0.73087,0.71678,0.98371,0.003862,0.003862,0.003862
64,23480.7,0.84689,0.77132,0.99759,0.56541,0.51639,0.50408,0.37674,0.73062,0.71602,0.98269,0.003763,0.003763,0.003763
65,24740.6,0.84588,0.76647,0.99695,0.56593,0.50995,0.5011,0.37625,0.73178,0.7172,0.98455,0.003664,0.003664,0.003664
66,25916.9,0.84319,0.76436,0.99525,0.56995,0.51297,0.50621,0.37975,0.73174,0.71693,0.98446,0.003565,0.003565,0.003565
67,27043.9,0.84759,0.76697,0.99744,0.56,0.52112,0.50405,0.37824,0.73165,0.71651,0.98433,0.003466,0.003466,0.003466
